time,bmu_x,bmu_y,label_raw,actual_base,pred_base_from_train,correct_base,correct_composite
2000/04/10,0,9,2D,2D,2C,0,0
2000/04/11,6,7,2A+3B,,2A,0,1
2000/04/12,6,7,2A+3C,,2A,0,1
2000/04/13,6,6,2A+2C,,2A,0,1
2000/04/14,5,6,2B,2B,4A,0,0
2000/04/15,2,1,2C,2C,2D,0,0
2000/04/16,3,1,1,1,1,1,1
2000/04/17,4,2,3D,3D,3B,0,0
2000/04/18,4,6,3D,3D,3B,0,0
2000/04/19,2,7,2A+4B,,3A,0,0
2000/04/20,0,8,2C+3A,,2B,0,0
2000/04/21,0,8,2A+2C,,2B,0,0
2000/04/22,5,9,2A,2A,4A,0,0
2000/04/23,6,7,2A,2A,2A,1,1
2000/04/24,5,8,2A,2A,4B,0,0
2000/04/25,4,8,3D,3D,4A,0,0
2000/04/26,3,7,2D,2D,3B,0,0
2000/04/27,3,9,2D,2D,2D,1,1
2000/04/28,3,9,2A+2B,,2D,0,0
2000/04/29,9,7,2A+3B,,3B,0,1
2000/04/30,1,9,3D,3D,4A,0,0
2000/05/01,4,6,2D,2D,3B,0,0
2000/05/02,2,9,2B,2B,3B,0,0
2000/05/03,2,9,2B+3B,,3B,0,1
2000/05/04,3,8,2D+3B,,4B,0,0
2000/05/05,0,5,3D,3D,4A,0,0
2000/05/06,1,9,2B+3D,,4A,0,0
2000/05/07,9,9,2A+3D,,3B,0,0
2000/05/08,2,5,3C,3C,3B,0,0
2000/05/09,1,4,3C,3C,4A,0,0
2000/05/10,0,4,2B+3A,,3A,0,1
2000/05/11,0,5,3A+4A,,4A,0,1
2000/05/12,0,5,3C,3C,4A,0,0
2000/05/13,0,6,3C,3C,4A,0,0
2000/05/14,0,7,2B+3D,,2D,0,0
2000/05/15,3,8,3B+4A,,4B,0,0
2000/05/16,4,7,3B+4B,,4A,0,0
2000/05/17,4,7,3B+4B,,4A,0,0
2000/05/18,2,7,2C,2C,3A,0,0
2000/05/19,0,6,3C,3C,4A,0,0
2000/05/20,0,7,3A+6A,,2D,0,0
2000/05/21,2,9,2D-3D,,3B,0,0
2000/05/22,1,9,3D,3D,4A,0,0
2000/05/23,1,9,3D,3D,4A,0,0
2000/05/24,2,9,2D+3D,,3B,0,0
2000/05/25,9,9,3B+3D,,3B,0,1
2000/05/26,4,6,2A+3D,,3B,0,0
2000/05/27,7,9,2B,2B,4A,0,0
2000/05/28,7,9,2B,2B,4A,0,0
2000/05/29,8,6,2A+4B,,3B,0,0
2000/05/30,9,6,2A+4B,,3B,0,0
2000/05/31,5,9,2D,2D,4A,0,0
2000/06/01,3,9,4B,4B,2D,0,0
2000/06/02,4,7,3B+4B,,4A,0,0
2000/06/03,4,7,3B+4A,,4A,0,1
2000/06/04,3,9,4B,4B,2D,0,0
2000/06/05,5,7,3B+4B,,4B,0,1
2000/06/06,6,8,2A+4B,,4A,0,0
2000/06/07,6,8,2A+3D,,4A,0,0
2000/06/08,6,8,4A+5,,4A,0,1
2000/06/09,6,8,4A,4A,4A,1,1
2000/06/10,5,7,3B+4B,,4B,0,1
2000/06/11,4,6,4B,4B,3B,0,0
2000/06/12,5,6,4B,4B,4A,0,0
2000/06/13,6,7,2A+4B,,2A,0,1
2000/06/14,6,8,4B,4B,4A,0,0
2000/06/15,8,8,4B,4B,4B,1,1
2000/06/16,4,6,4B,4B,3B,0,0
2000/06/17,4,6,4A,4A,3B,0,0
2000/06/18,5,7,4B,4B,4B,1,1
2000/06/19,5,7,2A+4B,,4B,0,1
2000/06/20,6,8,3C,3C,4A,0,0
2000/06/21,6,8,4A,4A,4A,1,1
2000/06/22,6,9,4A,4A,4A,1,1
2000/06/23,5,9,3A+4A,,4A,0,1
2000/06/24,4,9,2A+4A,,4A,0,1
2000/06/25,1,9,3A+4B,,4A,0,0
2000/06/26,0,9,4A,4A,2C,0,0
2000/06/27,0,8,4A,4A,2B,0,0
2000/06/28,5,9,2A+4B,,4A,0,0
2000/06/29,6,9,3B+4A,,4A,0,1
2000/06/30,7,9,4A+5,,4A,0,1
2000/07/01,8,8,4A,4A,4B,0,0
2000/07/02,2,8,4A+5,,4A,0,1
2000/07/03,2,9,4A+5,,3B,0,0
2000/07/04,1,5,5,5,2C,0,0
2000/07/05,1,5,2C+5,,2C,0,1
2000/07/06,0,5,3C,3C,4A,0,0
2000/07/07,0,6,6B,6B,4A,0,0
2000/07/08,4,9,4A+6B,,4A,0,1
2000/07/09,6,8,2A+5,,4A,0,0
2000/07/10,9,8,4A+6A,,3B,0,0
2000/07/11,8,8,2B+5,,4B,0,0
2000/07/12,7,8,5,5,2D,0,0
2000/07/13,7,9,2A+5,,4A,0,0
2000/07/14,7,9,4A+5,,4A,0,1
2000/07/15,7,9,4A+5,,4A,0,1
2000/07/16,4,8,5,5,4A,0,0
2000/07/17,4,8,4A+5,,4A,0,1
2000/07/18,4,8,4A+5,,4A,0,1
2000/07/19,1,8,4A+5,,4A,0,1
2000/07/20,0,9,4A+5,,2C,0,0
2000/07/21,8,9,5+6B,,4A,0,0
2000/07/22,7,9,5+6B,,4A,0,0
2000/07/23,7,9,5,5,4A,0,0
2000/07/24,7,9,5,5,4A,0,0
2000/07/25,6,9,4A+5,,4A,0,1
2000/07/26,1,8,4A+6A,,4A,0,1
2000/07/27,0,8,4A+6A,,2B,0,0
2000/07/28,0,9,5+6A,,2C,0,0
2000/07/29,6,9,5+6A,,4A,0,0
2000/07/30,7,9,5+6A,,4A,0,0
2000/07/31,7,9,2B+5,,4A,0,0
2000/08/01,4,7,2A+5,,4A,0,0
2000/08/02,3,6,5,5,4A,0,0
2000/08/03,2,6,2D+5,,5,0,1
2000/08/04,1,5,3A+5,,2C,0,0
2000/08/05,1,5,4A+6A,,2C,0,0
2000/08/06,1,5,4A+6A,,2C,0,0
2000/08/07,2,6,5+6A,,5,0,1
2000/08/08,2,7,5+6A,,3A,0,0
2000/08/09,2,6,3A+6A,,5,0,0
2000/08/10,3,6,5+6A,,4A,0,0
2000/08/11,4,6,2A+5,,3B,0,0
2000/08/12,4,7,4A+6A,,4A,0,1
2000/08/13,5,8,4A+6B,,4B,0,0
2000/08/14,5,9,6B,6B,4A,0,0
2000/08/15,2,9,5,5,3B,0,0
2000/08/16,2,9,3A+5,,3B,0,0
2000/08/17,3,9,2B+5,,2D,0,0
2000/08/18,3,9,2B+6C,,2D,0,0
2000/08/19,4,8,2A+2C,,4A,0,0
2000/08/20,0,6,4A+5,,4A,0,1
2000/08/21,0,7,2B+5,,2D,0,0
2000/08/22,2,6,5+6A,,5,0,1
2000/08/23,3,6,5+6A,,4A,0,0
2000/08/24,3,7,5,5,3B,0,0
2000/08/25,2,7,5,5,3A,0,0
2000/08/26,1,7,4A+5,,2D,0,0
2000/08/27,1,6,4A+5,,4B,0,0
2000/08/28,1,5,4A+5,,2C,0,0
2000/08/29,2,6,5+6A,,5,0,1
2000/08/30,2,6,3A+6A,,5,0,0
2000/08/31,1,7,3A+6B,,2D,0,0
2000/09/01,6,9,5+6B,,4A,0,0
2000/09/02,5,7,2A+5,,4B,0,0
2000/09/03,3,1,2A+4A,,1,0,0
2000/09/04,2,2,3A+4A,,3B,0,0
2000/09/05,1,1,2C,2C,3C,0,0
2000/09/06,1,5,2B+4A,,2C,0,0
2000/09/07,1,4,2C+4A,,4A,0,1
2000/09/08,0,3,4A+6A,,4B,0,0
2000/09/09,0,3,4A+6A,,4B,0,0
2000/09/10,0,3,4A+6A,,4B,0,0
2000/09/11,0,4,4A+6A,,3A,0,0
2000/09/12,0,4,4A+6A,,3A,0,0
2000/09/13,0,3,4A+6A,,4B,0,0
2000/09/14,1,5,4A+6A,,2C,0,0
2000/09/15,0,6,4A+6A,,4A,0,1
2000/09/16,0,7,4A+6B,,2D,0,0
2000/09/17,6,6,2A+6B,,2A,0,1
2000/09/18,7,6,2A+6C,,2A,0,1
2000/09/19,3,5,3C,3C,3B,0,0
2000/09/20,2,4,3B+4B,,3B,0,1
2000/09/21,2,3,3B+4B,,3B,0,1
2000/09/22,2,3,3A,3A,3B,0,0
2000/09/23,0,5,2D+3A,,4A,0,0
2000/09/24,0,5,2D,2D,4A,0,0
2000/09/25,0,5,2A,2A,4A,0,0
2000/09/26,3,1,2A,2A,1,0,0
2000/09/27,3,1,2A,2A,1,0,0
2000/09/28,3,1,1+3C,,1,0,1
2000/09/29,5,3,3B+4A,,3B,0,1
2000/09/30,4,5,3C+4A,,3D,0,0
2000/10/01,3,7,4A,4A,3B,0,0
2000/10/02,0,6,4B,4B,4A,0,0
2000/10/03,2,1,2A+4B,,2D,0,0
2000/10/04,3,1,2A+4B,,1,0,0
2000/10/05,1,3,2A+3B,,3B,0,1
2000/10/06,0,4,2A+4B,,3A,0,0
2000/10/07,1,4,3B+4B,,4A,0,0
2000/10/08,1,5,3B-2C,,2C,0,1
2000/10/09,5,6,2A+2C,,4A,0,0
2000/10/10,5,3,1+2C,,3B,0,0
2000/10/11,6,4,2A+3C,,3B,0,0
2000/10/12,8,2,4A,4A,1,0,0
2000/10/13,7,3,1+4B,,1,0,1
2000/10/14,3,3,3C,3C,3B,0,0
2000/10/15,6,4,2A+3C,,3B,0,0
2000/10/16,3,4,3B,3B,3B,1,1
2000/10/17,5,5,2A+3C,,2B,0,0
2000/10/18,8,2,1+4B,,1,0,1
2000/10/19,4,3,3B+4B,,3B,0,1
2000/10/20,2,5,2A+2C,,3B,0,0
2000/10/21,6,4,2A+3B,,3B,0,1
2000/10/22,4,3,3A,3A,3B,0,0
2000/10/23,3,4,4B,4B,3B,0,0
2000/10/24,2,4,3A+4B,,3B,0,0
2000/10/25,6,5,2A+4B,,4A,0,0
2000/10/26,8,2,1+6A,,1,0,1
2000/10/27,7,2,1+4B,,1,0,1
2000/10/28,6,3,3B+4A,,3B,0,1
2000/10/29,7,4,4B,4B,2D,0,0
2000/10/30,3,2,4B,4B,3B,0,0
2000/10/31,3,4,3B+4B,,3B,0,1
2000/11/01,3,5,4A+6A,,3B,0,0
2000/11/02,1,4,4A,4A,4A,1,1
2000/11/03,2,2,4B,4B,3B,0,0
2000/11/04,2,9,3A+4B,,3B,0,0
2000/11/05,9,9,2A+4B,,3B,0,0
2000/11/06,4,4,3B+4B,,3B,0,1
2000/11/07,6,4,2A+4B,,3B,0,0
2000/11/08,7,1,1,1,1,1,1
2000/11/09,6,2,3B,3B,1,0,0
2000/11/10,0,1,2C,2C,2D,0,0
2000/11/11,5,1,1,1,1,1,1
2000/11/12,3,4,3B-2D,,3B,0,1
2000/11/13,4,3,3B,3B,3B,1,1
2000/11/14,2,4,3C,3C,3B,0,0
2000/11/15,0,0,2A+2C,,2D,0,0
2000/11/16,0,0,1+4B,,2D,0,0
2000/11/17,0,1,2C,2C,2D,0,0
2000/11/18,6,0,1,1,1,1,1
2000/11/19,0,1,3A,3A,2D,0,0
2000/11/20,0,2,2B,2B,4B,0,0
2000/11/21,2,0,2A-1,,2D,0,0
2000/11/22,5,2,1+4B,,1,0,1
2000/11/23,1,2,3C+4B,,3B,0,0
2000/11/24,0,1,3C,3C,2D,0,0
2000/11/25,0,2,3C,3C,4B,0,0
2000/11/26,1,1,2A,2A,3C,0,0
2000/11/27,1,0,1,1,2D,0,0
2000/11/28,5,0,1,1,1,1,1
2000/11/29,6,2,3B-2B,,1,0,0
2000/11/30,6,2,1,1,1,1,1
2000/12/01,3,3,1+2C,,3B,0,0
2000/12/02,1,2,3B,3B,3B,1,1
2000/12/03,7,3,2A+2C,,1,0,0
2000/12/04,6,2,1,1,1,1,1
2000/12/05,8,2,2A,2A,1,0,0
2000/12/06,6,1,1,1,1,1,1
2000/12/07,6,1,1,1,1,1,1
2000/12/08,5,3,3B,3B,3B,1,1
2000/12/09,5,3,3B,3B,3B,1,1
2000/12/10,7,3,2A,2A,1,0,0
2000/12/11,9,0,1,1,1,1,1
2000/12/12,9,2,1,1,1,1,1
2000/12/13,9,3,1,1,1,1,1
2000/12/14,4,3,3C-2C,,3B,0,0
2000/12/15,4,3,3B,3B,3B,1,1
2000/12/16,8,3,2A+3D,,1,0,0
2000/12/17,5,2,3A+4B,,1,0,0
2000/12/18,4,4,3A+4B,,3B,0,0
2000/12/19,2,0,2D,2D,2D,1,1
2000/12/20,2,2,3B,3B,3B,1,1
2000/12/21,3,0,2D-1,,2D,0,1
2000/12/22,5,2,3C-2B,,1,0,0
2000/12/23,1,1,2D,2D,3C,0,0
2000/12/24,5,0,2A-1,,1,0,1
2000/12/25,8,1,1+2B,,1,0,1
2000/12/26,9,0,1,1,1,1,1
2000/12/27,6,1,1,1,1,1,1
2000/12/28,6,1,1,1,1,1,1
2000/12/29,0,1,1,1,2D,0,0
2000/12/30,0,2,3B,3B,4B,0,0
2000/12/31,1,0,2D,2D,2D,1,1
